Square_Footage,Price
175.97,6740.84
31.11,1699.65
65.38,2829.7
150.72,5678.91
182.22,6684.39
173.43,6394.41
79.34,3149.98
186.68,6944.89
82.19,3360.84
101.59,3954.16
194.23,7331.88
172.92,6528.95
216.83,8090.07
174.67,6727.64
155.03,5807.95
50.61,2313.17
110.9,4380.01
88.34,3558.71
83.68,3517.25
244.06,9130.08
116.48,4482.2
226.25,8400.54
168.85,6437.89
204.86,7642.75
140.58,5478.81
156.92,6020.28
138.35,5525.64
72.95,2900.34
188.94,7100.64
91.77,3621.1
35.35,1797.64
172.0,6358.42
68.96,2948.38
236.9,8728.53
239.86,8821.83
231.27,8449.81
111.43,4353.71
33.4,1777.47
234.23,8695.53
124.2,4909.79
242.66,9159.71
242.0,8996.25
217.66,8062.29
94.78,3863.98
114.72,4460.82
217.25,8053.31
99.72,3838.31
67.29,2947.72
152.5,5798.77
235.95,8776.6
183.13,6805.83
155.41,5983.07
51.38,2222.06
165.3,6271.38
247.81,9261.2
60.82,2707.72
144.03,5538.94
223.02,8128.96
192.97,7553.2
183.34,7091.61
184.55,7031.39
109.09,4242.76
94.59,3799.3
208.06,7727.74
208.22,7914.26
220.76,8252.71
230.91,8503.54
142.5,5440.26
140.33,5523.79
205.62,7856.88
172.99,6707.56
184.43,7030.85
205.07,7652.34
225.8,8078.89
104.36,4182.28
112.63,4441.81
50.68,2287.66
157.22,6008.15
37.91,1694.13
132.43,5190.85
149.38,5791.59
93.04,3824.6
159.98,6194.07
36.71,1845.26
38.22,1796.58
210.97,7876.94
109.24,4332.58
57.95,2539.14
144.89,5671.09
199.4,7543.32
77.48,3419.56
167.04,6566.9
48.78,2215.14
41.37,1564.28
146.9,5765.11
148.94,5658.85
170.23,6378.06
189.74,7101.06
244.69,9019.4
143.59,5586.74
101.05,3880.82
204.94,7565.16
89.58,3669.72
126.57,4992.37
47.26,2218.27
35.58,1666.5
241.78,8864.57
213.92,7936.38
183.11,6932.99
119.97,4847.49
68.12,2679.62
64.42,2732.49
85.05,3343.6
150.83,5613.82
187.21,7149.08
175.24,6687.98
91.59,3750.43
240.07,8994.57
192.34,7183.83
151.96,5775.26
164.58,6478.82
122.31,4756.26
84.5,3531.04
108.31,4291.63
196.73,7200.59
33.17,1456.37
55.54,2385.86
40.12,2009.83
38.96,1942.44
218.2,8228.45
184.8,6869.46
134.32,5362.73
51.52,2206.83
138.16,5356.72
134.16,5194.7
68.1,2866.27
125.45,5024.52
117.67,4547.98
165.49,6157.09
169.72,6442.22
39.97,1858.86
112.41,4772.26
167.69,6436.77
140.69,5383.22
218.43,8039.36
174.91,6433.91
65.85,2702.07
45.53,2104.87
171.33,6639.36
35.83,1866.31
158.87,6083.38
236.85,8757.46
156.6,6008.03
115.4,4487.04
171.52,6675.16
130.82,5059.63
150.04,5742.62
237.12,8577.7
114.94,4503.45
241.46,9034.82
229.18,8414.43
73.07,2982.52
45.26,2163.35
52.17,2178.32
34.01,1796.09
50.78,2224.0
180.26,6770.3
45.66,1985.76
100.17,4043.92
215.87,8301.53
35.12,1807.34
209.18,7734.98
92.01,3833.84
56.0,2428.2
183.28,7052.32
168.37,6473.53
223.04,8012.22
191.72,7109.64
206.77,7831.24
92.05,3736.83
69.04,2813.91
195.14,7266.37
207.5,7572.0
247.91,9168.05
120.78,4948.23
111.84,4495.03
200.81,7747.42
104.98,4262.43
234.77,8819.58
218.85,8357.19
124.38,4890.98
195.19,7312.98
196.0,7463.25
52.69,2489.44
228.56,8451.66
141.16,5368.29
211.82,7927.61
100.41,4097.53
227.02,8525.34
115.62,4404.44
32.38,1824.61
229.18,8457.32
50.08,2226.4
100.25,3918.45
239.01,9135.31
239.13,8893.88
156.16,5880.37
169.0,6501.54
128.66,5079.94
94.51,3788.95
102.31,4164.78
177.95,6645.86
195.52,7293.99
204.15,7444.14
203.72,7497.66
50.07,2433.05
138.77,5521.18
42.66,1999.78
150.9,5947.67
127.14,4933.78
225.29,8360.98
107.2,4257.7
55.75,2438.92
61.46,2629.52
197.53,7527.97
166.01,6325.29
52.25,2399.89
48.5,2300.76
184.21,6986.28
46.01,2013.25
210.81,7743.04
185.37,7002.94
47.9,2159.26
48.66,2211.99
247.06,9145.52
112.34,4690.24
111.54,4270.92
208.82,7609.56
238.39,8877.05
246.92,9104.57
195.74,7382.62
112.78,4505.59
48.37,2321.37
200.97,7383.31
152.85,5794.04
123.33,4859.39
229.4,8605.98
54.46,2625.57
138.38,5438.78
32.5,1631.74
133.11,5069.64
42.39,1927.11
56.14,2405.63
55.86,2520.48
172.83,6574.62
194.13,7162.18
158.34,5998.35
241.68,9046.48
112.47,4471.67
92.86,3806.85
221.09,8276.51
79.19,3434.33
241.91,8990.42
32.67,1604.99
243.37,8926.49
39.5,1907.29
226.05,8167.73
146.09,5594.87
248.45,9175.24
46.24,1981.79
151.85,5721.85
243.25,9094.6
145.08,5600.92
168.47,6406.55
183.06,6937.9
130.0,5059.23
168.06,6506.48
158.55,6061.56
228.25,8343.1
40.0,2062.95
91.81,3750.45
239.09,8809.24
225.86,8279.69
130.24,5098.15
166.43,6313.3
91.02,3843.25
71.39,2963.94
132.01,5036.74
107.74,4360.39
158.4,6136.68
47.1,2165.42
244.37,9120.48
246.97,9140.05
183.6,6949.23
147.94,5794.44
98.1,3995.89
209.03,7799.29
180.64,6957.67
65.78,2565.66
230.4,8769.35
210.96,7712.94
238.96,8800.75
189.66,7133.95
164.95,6258.65
122.01,4871.11
235.2,8626.23
220.53,8244.77
39.95,1840.36
35.8,1782.54
112.82,4442.29
208.32,7800.55
247.2,9097.03
63.09,2657.2
160.71,6153.53
113.8,4577.23
243.38,8958.51
215.27,7947.44
214.43,8066.48
133.11,5155.69
121.26,4827.16
90.15,3564.65
42.4,1806.15
220.24,8155.06
208.84,7732.7
249.94,9239.95
249.26,9160.42
152.19,5900.93
199.18,7442.39
237.85,8839.74
216.92,8108.05
84.42,3474.08
129.12,5016.78
58.42,2595.59
239.89,8816.63
163.36,6357.49
80.3,3286.9
177.77,6590.94
165.99,6328.39
108.8,4222.73
54.98,2490.93
177.75,6942.07
144.47,5477.71
199.91,7530.09
144.44,5379.71
217.48,8157.19
151.42,5711.11
153.41,5806.74
222.86,8190.1
118.77,4730.03
59.48,2682.65
36.33,1773.97
196.13,7278.11
166.47,6485.34
184.9,6896.37
76.85,2973.62
60.0,2645.9
33.2,1551.52
107.13,4348.39
159.78,6054.25
116.29,4630.65
126.24,5058.71
228.91,8391.14
106.62,4174.97
143.08,5500.15
202.4,7737.88
117.24,4537.54
166.86,6280.62
219.72,8238.01
238.89,8803.59
62.36,2697.72
233.85,8529.57
138.27,5560.73
86.81,3403.71
131.01,5053.17
245.61,9093.0
138.38,5534.43
102.33,3948.9
169.35,6625.56
82.83,3474.84
46.69,2175.86
58.35,2443.91
58.17,2593.07
63.42,2647.3
60.54,2745.64
170.99,6387.63
70.01,2939.16
106.05,4156.11
227.29,8356.52
134.27,5273.64
176.86,6743.74
67.91,2997.76
72.3,2852.64
38.99,1971.11
67.17,3101.34
91.29,3649.98
68.94,3102.5
49.51,2206.69
56.54,2341.66
131.37,5067.43
75.39,3243.59
110.14,4271.06
140.75,5366.28
181.89,6925.39
38.65,1853.01
205.87,7763.92
168.14,6408.62
47.99,2227.51
222.19,8233.33
232.59,8663.89
43.44,1927.56
90.91,3810.8
207.36,7694.32
194.62,7424.48
70.59,2947.45
76.06,3182.19
111.5,4353.14
136.6,5179.23
166.02,6136.09
111.16,4285.1
131.76,5079.13
194.44,7326.71
38.07,1933.5
85.54,3449.19
186.94,6954.6
226.95,8298.82
142.57,5537.92
147.06,5785.59
53.58,2501.86
128.43,5066.07
147.18,5715.01
83.34,3586.79
89.23,3656.38
113.0,4519.7
34.42,1672.47
100.86,3893.81
76.52,3109.76
102.05,4070.81
56.35,2478.25
225.92,8599.69
160.59,6128.79
179.4,6896.97
203.62,7583.11
139.66,5356.84
49.12,2086.39
148.16,5611.49
159.11,6121.37
194.0,7290.64
124.97,4968.07
58.07,2550.49
92.43,3699.83
109.88,4560.56
172.1,6514.17
155.57,6061.29
108.34,4251.82
247.03,9217.13
163.27,6307.27
82.19,3397.5
52.39,2098.28
63.63,2728.84
84.11,3566.92
65.35,2839.99
71.04,3031.15
92.72,3573.01
68.14,2812.93
227.29,8496.23
47.65,2208.84
145.39,5710.2
120.29,4695.57
246.12,9154.9
54.65,2414.34
117.53,4514.79
243.28,8789.34
220.41,8257.51
209.76,7858.85
86.74,3474.03
67.6,2703.92
177.1,6761.53
234.46,8679.6
152.49,5892.76
155.75,6137.82
91.6,3491.7
199.29,7405.14
71.15,2969.3
101.21,4187.81
123.6,4662.22
141.67,5652.19
83.33,3430.14
55.26,2424.64
164.34,6231.97
93.5,3728.83
157.87,6130.35
63.96,2631.74
135.85,5289.32
147.17,5612.52
41.4,1872.83
104.05,4400.45
59.57,2626.9
43.94,2099.31
247.79,9286.47
100.92,3889.99
208.17,7961.26
86.02,3259.84
179.93,6720.69
197.25,7357.85
161.04,6194.59
133.75,5203.01
120.61,4704.49
106.75,4235.09
234.5,8609.57
212.74,7796.05
242.31,9053.36
57.35,2576.46
190.79,7336.13
236.43,8696.22
69.87,3014.78
44.63,2033.65
193.05,7375.68
156.38,6075.64
215.2,8053.2
60.75,2592.29
204.96,7769.65
74.36,3167.22
66.0,2741.71
66.14,2682.07
209.21,7793.37
176.34,6823.56
145.07,5692.25
108.94,4201.76
222.98,8187.67
116.34,4699.3
209.65,7724.25
126.61,4982.27
112.93,4390.86
131.79,5274.34
96.3,3793.57
194.47,7420.93
140.6,5439.43
81.09,3363.26
227.91,8279.69
114.46,4285.67
149.58,5713.3
229.42,8554.53
167.33,6244.11
55.72,2341.25
236.76,8842.85
168.1,6439.64
103.68,4115.0
60.64,2700.42
204.69,7546.57
166.42,6288.97
147.36,5822.44
226.66,8439.81
203.49,7634.83
63.37,2948.49
98.58,3810.33
84.67,3543.01
193.67,7444.79
37.38,1775.71
155.38,6024.11
197.74,7322.73
222.89,8232.42
105.26,4222.53
210.68,7953.54
54.34,2513.96
216.22,8224.65
58.05,2524.92
117.4,4728.47
205.4,7654.94
62.98,2794.57
80.44,3335.98
188.9,7155.91
188.41,7136.63
171.05,6326.37
182.67,6780.99
149.4,5739.23
85.4,3320.12
106.05,4294.98
69.95,3035.46
229.86,8577.79
158.35,5930.0
118.19,4774.57
131.64,5311.17
238.4,8858.79
63.74,2781.86
158.97,6084.14
141.3,5498.38
164.52,6246.24
33.98,1685.99
221.87,8355.93
235.07,8961.87
154.33,5761.52
183.26,6903.83
232.95,8535.2
185.59,7154.94
63.56,2665.78
156.78,5843.1
163.48,6285.52
123.31,4990.24
192.02,7286.98
235.56,8765.11
233.63,8717.79
129.18,5162.95
54.91,2334.51
246.67,9122.09
214.56,7964.25
57.43,2393.12
232.59,8607.64
221.38,8358.97
144.14,5601.71
160.08,6167.25
117.78,4636.97
42.05,2024.0
103.74,4050.96
206.63,7701.02
31.02,1604.87
103.37,4145.7
117.6,4647.92
148.23,5674.11
232.37,8595.15
106.2,4532.64
106.33,4312.22
192.25,7270.07
129.49,5008.76
79.41,3234.34
129.54,5020.7
60.99,2663.88
68.81,2720.14
139.64,5230.49
122.16,4712.04
231.27,8615.03
109.73,4316.51
157.73,6168.34
169.1,6270.2
32.88,1575.69
175.98,6811.25
69.17,2933.99
241.44,9038.73
62.71,2899.83
121.22,4673.23
48.78,2197.26
249.31,9198.69
140.48,5221.44
160.98,6103.42
44.76,2154.6
194.99,7378.75
76.18,3228.18
227.57,8427.47
75.13,3063.97
71.95,3145.22
38.04,1781.7
133.85,5214.32
154.27,5915.61
44.46,2202.13
200.62,7618.7
129.72,4910.8
145.37,5469.05
126.97,5001.76
118.17,4629.44
153.12,5813.71
64.15,2846.91
70.02,2969.59
219.59,8191.0
238.15,8913.07
112.13,4386.97
89.56,3791.59
171.68,6429.99
119.92,4762.95
35.58,1888.86
64.35,2614.65
187.51,7028.65
174.96,6737.94
35.96,1874.36
78.83,3242.04
80.84,3255.81
177.82,6819.17
34.34,1820.13
52.9,2235.17
205.98,7588.96
69.28,2947.32
173.6,6639.08
82.4,3354.1
51.88,2383.63
83.5,3351.41
188.9,6899.99
218.25,8096.47
212.65,7949.02
117.38,4580.73
176.98,6578.4
75.1,2946.81
94.49,3755.83
227.19,8541.55
32.86,1775.73
48.81,2327.19
75.73,3069.13
35.84,1638.93
69.92,2996.72
158.27,6102.93
122.71,4834.99
226.39,8222.17
209.84,7757.63
105.2,4179.02
87.07,3596.28
113.53,4550.36
159.86,6109.7
88.97,3647.17
167.31,6364.43
120.07,4771.03
151.45,5832.05
125.95,4914.75
94.78,3790.55
238.66,8861.22
197.99,7478.22
60.82,2655.62
221.06,8275.29
137.23,5437.49
226.8,8464.57
205.97,7643.99
123.55,4912.5
34.94,1586.39
89.11,3510.67
149.16,5754.17
169.37,6479.42
86.74,3411.23
60.66,2584.76
213.68,7918.35
246.57,9081.23
145.65,5692.17
67.77,2942.58
89.91,3644.85
34.05,1637.01
231.15,8455.14
55.91,2598.7
156.83,6048.39
90.29,3589.56
151.92,5889.13
173.31,6558.91
212.54,7910.3
75.41,3182.96
32.42,1560.52
60.11,2569.64
228.0,8492.29
222.26,8229.01
161.43,6216.99
162.11,6360.89
176.31,6595.35
68.58,2733.85
231.17,8390.8
122.13,4759.49
114.29,4433.85
144.16,5566.45
40.33,1924.9
66.58,2670.06
192.37,7051.37
48.22,2217.14
162.69,6207.81
83.98,3396.61
115.65,4381.86
93.51,3820.08
108.25,4415.87
188.19,7114.45
95.37,3753.09
154.61,5915.77
134.73,5078.98
176.01,6766.06
236.1,8771.77
191.17,7013.99
77.29,3174.97
36.86,1836.44
87.7,3536.13
160.92,6104.51
41.31,1823.54
139.2,5428.67
161.31,6080.84
103.53,3908.03
199.6,7448.9
53.45,2468.92
46.53,2089.87
190.2,7330.85
139.01,5408.18
181.45,6884.57
125.66,4885.33
84.21,3440.47
210.2,7830.75
205.87,7675.28
182.83,6952.25
89.87,3551.93
159.85,5987.19
109.41,4217.18
50.15,2459.75
231.81,8666.35
60.1,2633.95
239.05,8761.08
128.12,5046.58
70.73,2963.87
149.22,5744.05
222.05,8174.02
191.09,7204.16
207.44,7718.14
174.93,6546.07
182.3,6953.94
216.82,7935.04
84.93,3528.92
137.67,5387.02
78.67,3165.35
247.29,9073.01
237.69,8796.95
38.67,1881.79
185.23,6967.64
233.55,8717.77
69.73,3116.73
154.95,5872.41
231.41,8427.74
37.47,1893.98
183.43,7088.47
95.42,3878.86
233.37,8559.08
243.63,9014.76
237.74,8709.0
134.33,5265.74
219.65,8052.6
215.8,8023.02
100.2,3906.64
212.36,7945.33
38.14,1798.32
161.18,6158.95
80.6,3323.3
56.52,2379.7
46.93,2205.23
183.18,6906.55
104.77,4068.18
189.45,7354.8
44.38,2100.89
99.36,3962.41
148.69,5845.6
203.96,7822.75
100.13,3989.86
167.7,6404.1
224.92,8273.23
165.49,6277.43
81.25,3323.88
35.37,1756.37
221.42,8283.04
34.68,1769.76
222.43,8308.97
146.37,5501.74
236.59,8686.97
205.73,7645.99
249.55,9205.87
107.16,4355.56
198.78,7341.06
118.42,4609.13
135.57,5340.34
168.05,6351.8
222.21,8323.36
246.5,9113.49
199.02,7491.38
121.91,4743.96
122.7,4861.16
192.27,7074.88
82.53,3352.25
54.3,2430.31
108.02,4333.96
93.19,3911.04
95.19,3792.47
81.39,3496.73
39.26,1808.22
33.93,1820.49
247.3,9237.21
124.11,4752.51
114.55,4540.02
179.52,6778.16
78.02,3293.11
238.99,8842.37
203.0,7574.13
49.67,2375.37
121.87,4755.5
223.41,8401.85
237.84,8801.9
132.83,5315.66
164.95,6205.43
66.75,2774.75
248.06,9334.45
80.97,3289.38
237.4,8969.14
172.92,6641.46
163.7,6214.11
142.79,5316.37
80.75,3324.23
68.84,2919.43
78.51,3364.47
71.02,3144.42
201.51,7484.3
107.03,4326.08
42.73,2071.93
243.2,9119.43
224.43,8405.02
234.11,8499.44
248.88,9195.25
68.26,2773.42
117.17,4580.8
196.81,7486.44
183.12,6939.87
63.86,2849.81
209.48,7866.09
79.38,3148.36
79.24,3021.31
148.13,5699.58
160.45,6094.24
157.62,5918.97
50.13,2084.39
223.04,8232.97
88.43,3575.67
58.49,2613.85
225.52,8412.22
240.24,9069.32
219.67,8084.82
208.09,7871.38
174.15,6600.09
151.19,5861.07
49.14,2176.15
119.86,4802.26
111.99,4449.22
87.15,3482.16
189.15,7119.13
139.09,5344.29
47.83,2222.97
78.44,3127.43
180.32,6808.16
46.75,2175.74
217.27,8107.6
138.93,5497.32
135.73,5327.92
160.33,6110.79
211.43,7921.71
106.52,4257.7
179.16,6811.05
154.46,5723.57
88.75,3575.97
223.3,8167.01
205.43,7818.01
174.86,6613.99
217.13,8080.15
220.8,8317.85
185.84,7046.63
214.14,7882.14
183.44,6913.44
179.63,6753.57
166.09,6138.85
195.6,7276.89
64.89,2752.91
223.79,8321.21
221.81,8114.97
36.43,1890.37
211.68,7898.58
58.35,2546.05
103.73,4170.48
193.57,7196.21
65.37,2833.49
209.95,7811.64
213.07,7867.77
141.64,5514.85
31.4,1748.34
93.15,3832.68
165.72,6392.64
245.86,9053.07
169.0,6255.2
87.16,3699.5
169.48,6637.3
148.8,5862.17
201.57,7521.23
53.54,2258.29
197.43,7303.35
149.08,5549.38
241.86,8954.3
105.21,4342.98
169.18,6407.02
235.05,8756.85
52.55,2476.88
236.19,8726.25
181.33,7050.27
44.92,2271.55
96.21,3854.31
185.8,6945.17
44.82,2138.32
158.08,5997.96
106.09,4097.64
166.6,6459.17
40.06,2023.86
221.74,8276.38
244.17,8919.58
243.15,8887.41
194.92,7333.04
58.62,2501.68
196.82,7354.52
35.41,1841.52
34.87,1793.67
101.19,4179.61
137.5,5213.49
199.49,7447.82
180.32,6887.27
128.1,5028.26
90.2,3810.16
249.37,9269.91
123.76,5016.41
129.31,5079.68
66.0,2916.12
204.86,7637.68
182.61,6892.78
78.57,3341.02
48.12,2345.63
179.71,6862.77
173.99,6581.42
90.12,3791.83
239.19,8652.45
63.23,2570.92
125.11,4947.14
237.6,8817.25
122.34,4842.45
170.48,6473.09
117.47,4668.57
90.33,3580.02
246.48,9183.68
120.05,4801.31
226.7,8556.62
80.59,3522.01
76.88,3215.32
36.85,1817.12
173.37,6415.52
111.08,4334.51
220.16,8186.25
134.11,5298.75
243.0,8943.99
70.82,3058.18
221.1,8238.24
200.85,7512.08
199.6,7510.99
215.85,8015.72
197.43,7366.98
167.77,6201.42
58.87,2535.79
37.16,1752.45
232.59,8588.93
165.66,6339.89
205.24,7749.2
135.93,5280.94
55.81,2552.81
57.54,2571.49
180.82,6799.35
124.67,4817.07
74.12,3125.32
138.15,5392.65
44.13,2184.19
158.03,6150.3
89.18,3567.1
205.46,7681.0
98.28,4006.89
130.15,5161.99
32.56,1733.38
45.94,2101.45
116.35,4446.8
135.59,5145.64
162.0,6197.42
94.17,3830.02
182.9,6791.49
219.23,8177.4
201.57,7617.98
38.72,1739.94
135.71,5360.4
53.08,2320.21
83.25,3539.51
247.07,9093.96
61.35,2544.55
139.76,5345.63
165.99,6300.28
184.54,6920.13
153.12,5837.69
32.15,1658.63
101.82,4046.63
143.9,5529.77
49.33,2055.65
107.14,4289.0
37.3,1796.74
47.29,2316.08
117.32,4512.35
59.2,2391.08
154.86,5981.87
181.68,6893.53
206.13,7613.67
74.03,2938.18
66.85,2993.36
53.0,2496.58
170.01,6201.77
185.42,6944.04
36.95,1959.63
235.97,8711.23
41.43,1901.12
149.09,5689.71
185.99,6897.68
221.61,8085.98
187.1,7153.72
206.38,7539.01
104.68,4188.49
209.26,7912.81
47.63,2021.76
226.86,8347.66
150.47,5887.78
209.81,7896.48
129.51,4971.12
171.59,6625.77
145.81,5723.95
190.95,7210.14
47.96,2088.53
43.28,1973.37
84.36,3481.33
65.1,2759.63
221.79,8356.63
78.23,3084.97
244.69,8914.74
104.12,4162.18
70.07,2903.15
203.73,7567.97
174.92,6445.24
139.6,5388.06
152.18,5821.02
188.22,7153.2
80.26,3315.99
249.19,9208.51
244.45,9173.61
173.07,6426.26
73.9,3140.12
179.65,6620.64
45.88,2022.09
36.74,1664.76
86.69,3612.35
131.78,5105.66
221.02,8234.35
189.98,7038.53
193.4,7238.87
123.61,4749.95
106.11,4252.04
111.63,4307.89
247.28,9287.88
38.82,1691.28
220.75,8145.49
157.31,6173.52
126.5,4883.82
189.56,7003.0
137.07,5319.26
222.15,8227.82
228.15,8401.82
122.78,4687.66
90.9,3958.41
160.32,6085.94
230.72,8382.64
76.35,3321.47
167.05,6407.95
168.94,6336.37
191.28,7101.66
58.94,2630.42
187.48,7037.16
229.99,8356.95
69.53,3112.28
82.26,3335.68
243.71,9179.3
69.81,3071.37
217.96,8028.66
138.3,5443.86
84.39,3388.54
221.56,8068.1
127.97,4936.39
143.26,5553.86
109.03,4269.82
160.45,6085.02
65.98,2923.49
116.04,4571.98
243.27,8930.15
86.79,3607.83
174.48,6626.64
101.54,3801.8
200.16,7548.58
58.79,2596.91
243.36,9019.63
129.83,5133.35
81.93,3300.35
46.17,2149.57
67.35,2700.44
144.35,5592.97
104.14,4340.23
212.35,7832.92
124.8,4791.85
84.72,3394.1
165.77,6315.02
185.49,6885.88
66.75,2878.35
66.88,2925.35
38.07,1885.8
192.01,7043.45
176.04,6760.81
134.42,5298.39
215.72,8133.13
207.25,7790.94
158.78,6079.25
221.02,8338.93
75.29,3327.33
54.62,2316.48
89.34,3734.88
42.56,1980.95
146.86,5627.04
236.05,8608.21
38.66,1824.47
56.86,2390.52
129.48,4985.55
235.45,8631.02
99.55,3939.51
141.59,5415.1
39.15,1879.79
62.64,2530.77
247.06,9002.5
242.33,9017.61
31.09,1508.29
239.4,8986.4
170.61,6493.75
220.94,8293.65
130.04,5192.57
143.43,5489.12
137.55,5256.67
176.71,6772.03
60.72,2676.27
36.59,1762.06
97.74,4060.21
185.03,6954.82
74.41,3107.55
178.16,6737.55
243.38,8924.86
50.66,2280.79
177.97,6868.71
127.63,5011.37
220.99,8237.8
68.97,2897.88
182.38,6916.31
214.39,8078.46
237.82,8884.45
180.31,6777.82
139.38,5410.72
165.93,6355.42
221.16,8139.85
155.53,5960.52
36.69,1567.85
234.81,8766.56
181.7,6925.39
178.83,6833.91
77.45,3171.19
174.95,6654.32
116.65,4725.15
173.27,6705.87
53.45,2367.85
174.73,6629.34
249.87,9356.58
40.61,1771.15
244.98,9041.93
119.52,4816.75
221.57,8352.32
202.12,7611.29
154.74,5765.44
192.46,7231.07
223.27,8255.58
118.91,4694.98
101.95,3987.22
176.87,6587.9
207.73,7563.93
197.7,7541.78
205.52,7653.19
125.83,4919.71
209.92,7847.1
56.45,2368.87
149.79,5616.66
31.27,1493.81
101.41,3976.99
110.62,4408.41
117.16,4520.96
183.0,7079.75
115.48,4644.61
128.71,5085.78
82.26,3367.12
112.12,4575.47
80.0,3278.18
46.1,2110.48
162.76,6213.55
177.01,6765.42
166.29,6383.77
131.97,5071.39
113.55,4421.05
219.93,8261.66
144.2,5618.45
135.42,5200.37
35.64,1588.73
105.07,4156.88
113.64,4539.86
117.74,4801.48
157.64,5897.53
147.39,5616.08
163.74,6191.93
198.27,7575.18
208.86,7806.5
187.99,6988.82
240.22,8963.4
34.01,1649.93
73.07,2935.05
31.66,1518.96
172.44,6708.96
227.57,8503.26
83.57,3435.59
233.95,8663.18
43.26,2043.27
235.58,8773.18
107.36,4286.71
52.31,2342.42
136.89,5378.09
86.49,3529.49
92.67,3645.73
97.6,3854.89
206.67,7535.4
148.62,5904.22
98.49,4033.34
164.27,6166.56
187.55,7036.18
89.98,3585.52
120.98,4888.58
56.81,2346.54
69.85,2956.3
179.85,6783.75
69.92,3029.76
145.54,5583.36
185.99,6833.84
53.51,2347.84
154.81,5821.09
86.44,3533.49
241.84,9107.95
136.38,5099.36
207.32,7676.12
151.05,5731.48
39.55,1846.11
169.29,6499.28
239.31,8858.45
162.35,6223.99
210.22,7795.18
